"MEASURE","Measure","ASGS_2011","Region","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"4","Male births","2","Victoria","A","Annual","1975","1975","NUM","Number","0","Units",,,31865,,
"4","Male births","2","Victoria","A","Annual","1976","1976","NUM","Number","0","Units",,,30957,,
"4","Male births","2","Victoria","A","Annual","1977","1977","NUM","Number","0","Units",,,30667,,
"4","Male births","2","Victoria","A","Annual","1978","1978","NUM","Number","0","Units",,,30136,,
"4","Male births","2","Victoria","A","Annual","1979","1979","NUM","Number","0","Units",,,29643,,
"4","Male births","2","Victoria","A","Annual","1980","1980","NUM","Number","0","Units",,,29771,,
"4","Male births","2","Victoria","A","Annual","1981","1981","NUM","Number","0","Units",,,30268,,
"4","Male births","2","Victoria","A","Annual","1982","1982","NUM","Number","0","Units",,,30702,,
"4","Male births","2","Victoria","A","Annual","1983","1983","NUM","Number","0","Units",,,30695,,
"4","Male births","2","Victoria","A","Annual","1984","1984","NUM","Number","0","Units",,,30404,,
"4","Male births","2","Victoria","A","Annual","1985","1985","NUM","Number","0","Units",,,31497,,
"4","Male births","2","Victoria","A","Annual","1986","1986","NUM","Number","0","Units",,,30855,,
"4","Male births","2","Victoria","A","Annual","1987","1987","NUM","Number","0","Units",,,31605,,
"4","Male births","2","Victoria","A","Annual","1988","1988","NUM","Number","0","Units",,,31688,,
"4","Male births","2","Victoria","A","Annual","1989","1989","NUM","Number","0","Units",,,32841,,
"4","Male births","2","Victoria","A","Annual","1990","1990","NUM","Number","0","Units",,,34357,,
"4","Male births","2","Victoria","A","Annual","1991","1991","NUM","Number","0","Units",,,33636,,
"4","Male births","2","Victoria","A","Annual","1992","1992","NUM","Number","0","Units",,,33691,,
"4","Male births","2","Victoria","A","Annual","1993","1993","NUM","Number","0","Units",,,32793,,
"4","Male births","2","Victoria","A","Annual","1994","1994","NUM","Number","0","Units",,,32904,,
"4","Male births","2","Victoria","A","Annual","1995","1995","NUM","Number","0","Units",,,32108,,
"4","Male births","2","Victoria","A","Annual","1996","1996","NUM","Number","0","Units",,,31587,,
"4","Male births","2","Victoria","A","Annual","1997","1997","NUM","Number","0","Units",,,31248,,
"4","Male births","2","Victoria","A","Annual","1998","1998","NUM","Number","0","Units",,,31303,,
"4","Male births","2","Victoria","A","Annual","1999","1999","NUM","Number","0","Units",,,30101,,
"4","Male births","2","Victoria","A","Annual","2000","2000","NUM","Number","0","Units",,,30326,,
"4","Male births","2","Victoria","A","Annual","2001","2001","NUM","Number","0","Units",,,29943,,
"4","Male births","2","Victoria","A","Annual","2002","2002","NUM","Number","0","Units",,,31605,,
"4","Male births","2","Victoria","A","Annual","2003","2003","NUM","Number","0","Units",,,31257,,
"4","Male births","2","Victoria","A","Annual","2004","2004","NUM","Number","0","Units",,,31925,,
"4","Male births","2","Victoria","A","Annual","2005","2005","NUM","Number","0","Units",,,32312,,
"4","Male births","2","Victoria","A","Annual","2006","2006","NUM","Number","0","Units",,,33539,,
"4","Male births","2","Victoria","A","Annual","2007","2007","NUM","Number","0","Units",,,36121,,
"4","Male births","2","Victoria","A","Annual","2008","2008","NUM","Number","0","Units",,,36786,,
"4","Male births","2","Victoria","A","Annual","2009","2009","NUM","Number","0","Units",,,36284,,
"4","Male births","2","Victoria","A","Annual","2010","2010","NUM","Number","0","Units",,,36141,,
"4","Male births","2","Victoria","A","Annual","2011","2011","NUM","Number","0","Units",,,36900,,
"4","Male births","2","Victoria","A","Annual","2012","2012","NUM","Number","0","Units",,,39656,,
"4","Male births","2","Victoria","A","Annual","2013","2013","NUM","Number","0","Units",,,38056,,
"4","Male births","2","Victoria","A","Annual","2014","2014","NUM","Number","0","Units",,,38057,,
"4","Male births","2","Victoria","A","Annual","2015","2015","NUM","Number","0","Units",,,37832,,
"4","Male births","1","New South Wales","A","Annual","1975","1975","NUM","Number","0","Units",,,41769,,
"4","Male births","1","New South Wales","A","Annual","1976","1976","NUM","Number","0","Units",,,40253,,
"4","Male births","1","New South Wales","A","Annual","1977","1977","NUM","Number","0","Units",,,40096,,
"4","Male births","1","New South Wales","A","Annual","1978","1978","NUM","Number","0","Units",,,39814,,
"4","Male births","1","New South Wales","A","Annual","1979","1979","NUM","Number","0","Units",,,39858,,
"4","Male births","1","New South Wales","A","Annual","1980","1980","NUM","Number","0","Units",,,41159,,
"4","Male births","1","New South Wales","A","Annual","1981","1981","NUM","Number","0","Units",,,42280,,
"4","Male births","1","New South Wales","A","Annual","1982","1982","NUM","Number","0","Units",,,43096,,
"4","Male births","1","New South Wales","A","Annual","1983","1983","NUM","Number","0","Units",,,42706,,
"4","Male births","1","New South Wales","A","Annual","1984","1984","NUM","Number","0","Units",,,39885,,
"4","Male births","1","New South Wales","A","Annual","1985","1985","NUM","Number","0","Units",,,45058,,
"4","Male births","1","New South Wales","A","Annual","1986","1986","NUM","Number","0","Units",,,43458,,
"4","Male births","1","New South Wales","A","Annual","1987","1987","NUM","Number","0","Units",,,44035,,
"4","Male births","1","New South Wales","A","Annual","1988","1988","NUM","Number","0","Units",,,43495,,
"4","Male births","1","New South Wales","A","Annual","1989","1989","NUM","Number","0","Units",,,43948,,
"4","Male births","1","New South Wales","A","Annual","1990","1990","NUM","Number","0","Units",,,46752,,
"4","Male births","1","New South Wales","A","Annual","1991","1991","NUM","Number","0","Units",,,44942,,
"4","Male births","1","New South Wales","A","Annual","1992","1992","NUM","Number","0","Units",,,47710,,
"4","Male births","1","New South Wales","A","Annual","1993","1993","NUM","Number","0","Units",,,45906,,
"4","Male births","1","New South Wales","A","Annual","1994","1994","NUM","Number","0","Units",,,45187,,
"4","Male births","1","New South Wales","A","Annual","1995","1995","NUM","Number","0","Units",,,44884,,
"4","Male births","1","New South Wales","A","Annual","1996","1996","NUM","Number","0","Units",,,44448,,
"4","Male births","1","New South Wales","A","Annual","1997","1997","NUM","Number","0","Units",,,44647,,
"4","Male births","1","New South Wales","A","Annual","1998","1998","NUM","Number","0","Units",,,43763,,
"4","Male births","1","New South Wales","A","Annual","1999","1999","NUM","Number","0","Units",,,44438,,
"4","Male births","1","New South Wales","A","Annual","2000","2000","NUM","Number","0","Units",,,44705,,
"4","Male births","1","New South Wales","A","Annual","2001","2001","NUM","Number","0","Units",,,43529,,
"4","Male births","1","New South Wales","A","Annual","2002","2002","NUM","Number","0","Units",,,44369,,
"4","Male births","1","New South Wales","A","Annual","2003","2003","NUM","Number","0","Units",,,44531,,
"4","Male births","1","New South Wales","A","Annual","2004","2004","NUM","Number","0","Units",,,44339,,
"4","Male births","1","New South Wales","A","Annual","2005","2005","NUM","Number","0","Units",,,46930,,
"4","Male births","1","New South Wales","A","Annual","2006","2006","NUM","Number","0","Units",,,47780,,
"4","Male births","1","New South Wales","A","Annual","2007","2007","NUM","Number","0","Units",,,49442,,
"4","Male births","1","New South Wales","A","Annual","2008","2008","NUM","Number","0","Units",,,51205,,
"4","Male births","1","New South Wales","A","Annual","2009","2009","NUM","Number","0","Units",,,50411,,
"4","Male births","1","New South Wales","A","Annual","2010","2010","NUM","Number","0","Units",,,51943,,
"4","Male births","1","New South Wales","A","Annual","2011","2011","NUM","Number","0","Units",,,50986,,
"4","Male births","1","New South Wales","A","Annual","2012","2012","NUM","Number","0","Units",,,50641,,
"4","Male births","1","New South Wales","A","Annual","2013","2013","NUM","Number","0","Units",,,51875,,
"4","Male births","1","New South Wales","A","Annual","2014","2014","NUM","Number","0","Units",,,46689,,
"4","Male births","1","New South Wales","A","Annual","2015","2015","NUM","Number","0","Units",,,51342,,
"1","Births","3","Queensland","A","Annual","1975","1975","NUM","Number","0","Units",,,36328,,
"1","Births","3","Queensland","A","Annual","1976","1976","NUM","Number","0","Units",,,35268,,
"1","Births","3","Queensland","A","Annual","1977","1977","NUM","Number","0","Units",,,34976,,
"1","Births","3","Queensland","A","Annual","1978","1978","NUM","Number","0","Units",,,34530,,
"1","Births","3","Queensland","A","Annual","1979","1979","NUM","Number","0","Units",,,35220,,
"1","Births","3","Queensland","A","Annual","1980","1980","NUM","Number","0","Units",,,35001,,
"1","Births","3","Queensland","A","Annual","1981","1981","NUM","Number","0","Units",,,38935,,
"1","Births","3","Queensland","A","Annual","1982","1982","NUM","Number","0","Units",,,40599,,
"1","Births","3","Queensland","A","Annual","1983","1983","NUM","Number","0","Units",,,42085,,
"1","Births","3","Queensland","A","Annual","1984","1984","NUM","Number","0","Units",,,40446,,
"1","Births","3","Queensland","A","Annual","1985","1985","NUM","Number","0","Units",,,40437,,
"1","Births","3","Queensland","A","Annual","1986","1986","NUM","Number","0","Units",,,40371,,
"1","Births","3","Queensland","A","Annual","1987","1987","NUM","Number","0","Units",,,39365,,
"1","Births","3","Queensland","A","Annual","1988","1988","NUM","Number","0","Units",,,40561,,
"1","Births","3","Queensland","A","Annual","1989","1989","NUM","Number","0","Units",,,42071,,
"1","Births","3","Queensland","A","Annual","1990","1990","NUM","Number","0","Units",,,44868,,
"1","Births","3","Queensland","A","Annual","1991","1991","NUM","Number","0","Units",,,44160,,
"1","Births","3","Queensland","A","Annual","1992","1992","NUM","Number","0","Units",,,46240,,
"1","Births","3","Queensland","A","Annual","1993","1993","NUM","Number","0","Units",,,46778,,
"1","Births","3","Queensland","A","Annual","1994","1994","NUM","Number","0","Units",,,46578,,
"1","Births","3","Queensland","A","Annual","1995","1995","NUM","Number","0","Units",,,46484,,
"1","Births","3","Queensland","A","Annual","1996","1996","NUM","Number","0","Units",,,47769,,
"1","Births","3","Queensland","A","Annual","1997","1997","NUM","Number","0","Units",,,46965,,
"1","Births","3","Queensland","A","Annual","1998","1998","NUM","Number","0","Units",,,47046,,
"1","Births","3","Queensland","A","Annual","1999","1999","NUM","Number","0","Units",,,46503,,
"1","Births","3","Queensland","A","Annual","2000","2000","NUM","Number","0","Units",,,47278,,
